price,bathrooms,bedrooms,distanceToCoast,LivingArea,longitude,latitude
1700676,2,4,6.8,1883,-121.825935,36.985294
1700300,5,4,9.1,4120,-117.23299,33.088898
1700000,5,5,9.1,2786,-117.278145,33.10968
1700000,4,4,23.7,1192,-122.09776,37.27122
1700000,3,4,0,2636,-117.28999,33.061573
1700000,2,3,16.4,1713,-118.49594,34.16421
1700000,3,3,17.6,1580,-122.26849,37.549065
1700000,3,4,12.7,2334,-117.70829,33.50094
1700000,3,3,16,2917,-118.073166,33.79467
1700000,2,3,0,1108,-118.454834,34.009556
1700000,0,,33.9,#N/A,-117.63589,34.062634
1700000,2,4,13.4,1700,-117.84667,33.81767
1700000,3,4,33.4,3096,-119.225945,34.186153
1700000,2,4,14.8,2114,-117.03066,33.010513
1700000,3,4,21.4,2390,-118.40634,33.756428
1700000,3,3,21.4,2266,-118.37253,33.78715
1700000,5,4,15.5,2357,-118.370125,33.868706
1700000,3,5,15.5,2151,-118.370125,33.868706
1700000,3,4,10.5,1660,-122.44579,37.62984
1700000,3,5,0.1,2665,-117.07532,32.99559
1700000,4,4,0,2008,-122.44733,37.730137
1700000,2,3,0,1426,-122.41868,37.738453
1700000,2,2,0,2029,-122.50202,37.755405
1700000,2,3,0,2112,-122.445595,37.769672
1700000,2,2,16.4,1732,-122.32821,37.56436
1700000,3,3,16.4,1390,-122.29615,37.56396
1700000,3,3,14.5,2289,-118.055984,33.779514
1700000,1,1,13,816,-118.44984,33.99715
1700000,2,4,22.2,2132,-118.65584,34.1767
1699000,3,5,0.1,2864,-117.08604,33.04058
1699000,,,16.4,2760,-122.32983,37.574104
1695000,4,4,19.8,3042,-118.10414,33.786205
1695000,2,2,0,1566,-122.472565,37.746536
1694000,1,2,0.3,947,-121.99956,36.96711
1690000,2,3,28.7,1628,-122.000565,37.5478
1689000,2,3,28.7,1724,-121.98395,37.558266
1688899,4,8,19.8,4345,-122.10143,37.678623
1688000,3,3,0,2300,-122.4594,37.725163
1685000,3,4,23.4,2834,-121.664734,37.13612
1685000,3,4,13.4,3219,-117.77807,33.824997
1685000,2,2,16.4,2076,-122.33307,37.567078
1685000,1,2,0.3,918,-122.00699,36.973007
1684000,7,6,22.9,3844,-118.64499,34.207733
1680000,4,5,6.9,2336,-122.49256,37.68895
1680000,2,3,12.7,1713,-117.72843,33.50748
1680000,3,4,0.1,2136,-117.16546,32.93971
1680000,3,4,0.1,2457,-117.12327,32.948383
1679000,3,4,14.5,3019,-118.05731,33.77841
1678000,3,3,15.5,2393,-118.37506,33.869644
1678000,3,4,14.5,1800,-118.101,33.738827
1675300,3,5,0.1,2984,-117.073906,33.0077
1675000,3,3,23.9,2262,-118.65673,34.137276
1675000,3,5,9.1,2372,-117.25531,33.099625
1675000,4,5,114.3,5119,-119.83365,36.832027
1675000,3,5,18.3,3162,-117.915924,33.8861
1675000,3,4,12.7,2581,-117.679344,33.507683
1675000,4,4,0,2053,-118.39378,33.961136
1675000,3,3,15.5,1892,-118.381226,33.86051
1675000,1,2,13,833,-118.468414,33.992172
1674425,4,4,28.7,2191,-122.01741,37.544586
1670000,3,5,18.3,2332,-117.96112,33.892067
1670000,3,4,0,2505,-118.36101,34.119255
1670000,3,5,33.4,2851,-119.22494,34.18767
1670000,1,3,0,1395,-122.44304,37.732876
1670000,2,4,1,2169,-119.76831,34.448856
1667500,3,4,0.1,2101,-117.13365,32.97955
1666500,4,,13,2564,-118.47091,33.988876
1665000,2,3,0,1733,-118.42598,33.95422
1665000,3,4,15.5,2453,-118.37756,33.867348
1663002,2,4,28.7,1736,-121.970894,37.515305
1662000,2,3,28.7,1509,-122.005745,37.53635
1660000,3,4,9.1,2220,-117.31187,33.096733
1660000,3,3,33.4,1942,-119.23908,34.18593
1660000,3,3,10.5,1430,-122.44243,37.62932
1660000,2,3,16.4,2070,-122.33371,37.57765
1660000,2,4,0.3,1959,-121.98112,36.96695
1660000,3,4,4.8,2242,-121.954094,36.990524
1655500,2,3,22.6,1480,-122.22374,37.460136
1652000,3,4,21.4,2106,-118.31607,33.767746
1651500,8,10,15.2,4468,-117.99107,33.83047
1651000,4,4,0.1,2117,-117.0963,32.903362
1650000,5,5,22.9,4359,-118.65345,34.20912
1650000,3,3,4.2,2203,-121.94729,36.973705
1650000,3,3,9.1,2493,-117.25131,33.118034
1650000,3,4,24.5,2965,-117.83153,33.97711
1650000,3,3,0,2264,-117.290764,33.083588
1650000,2,3,28.7,1239,-122.06078,37.58991
1650000,2,3,28.7,1389,-122.007774,37.536472
1650000,4,4,28.7,2493,-121.93458,37.50325
1650000,2,3,28.7,1694,-122.005066,37.53509
1650000,3,4,19.8,4156,-118.19713,33.82878
1650000,7,8,19.8,3691,-118.17673,33.843323
1650000,2,3,16,1938,-118.07858,33.78631
1650000,3,3,26.9,2615,-121.879166,36.59495
1650000,2,4,14.8,1657,-122.14982,37.84955
1650000,3,3,33.4,2924,-119.24122,34.19081
1650000,2,3,33.4,#N/A,-119.22923,34.165863
1650000,3,5,14.8,2653,-117.02668,32.984398
1650000,3,3,15.5,2285,-118.367195,33.871216
1650000,2,3,15.5,1770,-118.374214,33.88305
1650000,2,3,15.5,1615,-118.38457,33.870964
1650000,4,4,15.5,3185,-118.37566,33.839855
1650000,1,3,15.5,1110,-118.38077,33.823677
1650000,2,3,22.6,1110,-122.21985,37.468555
1650000,2,4,10.5,1498,-122.449615,37.631973
1650000,4,3,0.1,2280,-117.12499,33.016716
1650000,3,4,0.1,2252,-117.071434,32.93759
1650000,2,2,0,#N/A,-122.41737,37.736572
1650000,1,3,16.4,1400,-122.280365,37.53562
1650000,2,4,16.4,1510,-122.326965,37.58143
1650000,3,2,0.3,1650,-122.05048,36.956165
1650000,3,4,22.2,2417,-118.645294,34.163845
1650000,3,4,22.2,1970,-118.638145,34.172405
1650000,2,4,22.2,1900,-118.64153,34.178364
1648000,3,3,17.6,1700,-122.26263,37.54436
1646500,2,3,18.3,1590,-117.92214,33.91481
1642000,4,4,9.1,4283,-117.25903,33.09369
1642000,2,4,28.7,1494,-122.029144,37.57643
1640000,3,5,15.2,3032,-117.82572,33.838825
1640000,3,5,23.4,2799,-121.64942,37.10269
1640000,2,3,15.5,1416,-118.381676,33.80858
1640000,3,4,0.1,2360,-117.14017,33.014465
1639000,3,4,18.3,2011,-117.90861,33.88345
1638000,1,3,0,1386,-122.48562,37.73201
1636800,3,5,0.1,2888,-117.1279,32.97741
1635000,3,3,28.7,1375,-121.96374,37.52087
1635000,3,4,19.8,2701,-122.044975,37.6377
1635000,4,5,6.2,2922,-118.14527,34.052944
1635000,2,3,10.5,1591,-122.44169,37.63125
1635000,3,4,0.1,2360,-117.141014,33.01369
1633000,2,3,19.8,2172,-118.1285,33.7629
1630000,2,3,6.7,1468,-119.84074,34.44522
1630000,2,4,0,1896,-118.395386,33.963196
1630000,3,4,0,1934,-117.9365,33.626766
1630000,4,6,13.4,3052,-117.82447,33.831856
1630000,3,4,26.2,2122,-121.96723,37.391846
1629375,2,3,1,#N/A,-119.71237,34.424896
1629000,3,3,15.5,2246,-118.375275,33.864445
